sigma,T,seed,gas_cost,slippage_coeff,optimal_width,best_score,mean_objective,std_objective,mean_time_in_range,mean_n_rebalances,mean_cum_fees,mean_lp_minus_hodl,prob_underperform_hodl
0.6,1.0,42,1.0,0.00025,0.14,6.684882161564362,0.17959413540528235,0.026865714468069943,0.9481027667984189,13.13,265.6962301465595,129.11569913381302,0.37
0.6,1.0,42,2.0,0.0005,0.2,4.906522608174286,0.13896332161307218,0.028322160664573062,0.9747826086956524,6.38,211.98856108118198,88.48488534160282,0.39
0.6,1.0,42,5.0,0.001,0.3,2.760516143569756,0.09471677368777734,0.03431125512828718,0.9889328063241106,2.8,159.3864985605512,44.23833741630797,0.42
