mean_lp_minus_hodl,mean_cum_fees,mean_n_rebalances,width,threshold,jensen_proxy
-1028.4620534959615,21.273052110013868,174.983,0.05,0.01,-1049.7351056059754
-824.7188021303657,45.353602836101054,47.067,0.05,0.042222222222222223,-870.0724049664667
-622.5153214001256,52.97626270967745,19.45,0.05,0.07444444444444444,-675.4915841098031
-486.780429777982,52.396413352650676,10.379,0.05,0.10666666666666666,-539.1768431306327
-405.58091502172175,48.46933782915507,6.56,0.05,0.1388888888888889,-454.0502528508768
-340.4060083641927,44.363532321645415,4.371,0.05,0.1711111111111111,-384.76954068583814
-297.29492170442705,40.66993535320916,3.128,0.05,0.20333333333333334,-337.9648570576362
-268.79202342849294,37.72598104982903,2.365,0.05,0.23555555555555557,-306.518004478322
-237.06277802998247,35.50958341688932,1.777,0.05,0.2677777777777778,-272.5723614468718
-217.82099180309262,33.36426957022524,1.402,0.05,0.3,-251.18526137331787
-947.0331356880297,46.07305116438758,174.983,0.1,0.01,-993.1061868524173
-565.5095773444455,82.99486653630166,47.067,0.1,0.042222222222222223,-648.5044438807471
-396.93896854283884,92.5368952047076,19.45,0.1,0.07444444444444444,-489.47586374754644
-324.2065427818829,91.46924341905458,10.379,0.1,0.10666666666666666,-415.67578620093747
-280.40433338600036,86.99397223938811,6.56,0.1,0.1388888888888889,-367.3983056253885
-239.9958333598237,81.19057187869524,4.371,0.1,0.1711111111111111,-321.18640523851894
-213.1508411463761,75.33523059215406,3.128,0.1,0.20333333333333334,-288.4860717385302
-196.02232249397528,70.18345338916004,2.365,0.1,0.23555555555555557,-266.2057758831353
-173.48986786656948,66.07971723769803,1.777,0.1,0.2677777777777778,-239.5695851042675
-160.90008355192427,62.135667752450665,1.402,0.1,0.3,-223.03575130437494
-732.2643282763487,70.448305902366,174.983,0.2,0.01,-802.7126341787147
-316.15157819927043,101.78667562232955,47.067,0.2,0.042222222222222223,-417.9382538216
-184.28118121258296,110.33733966765926,19.45,0.2,0.07444444444444444,-294.6185208802422
-136.06372876670363,113.4783733834722,10.379,0.2,0.10666666666666666,-249.54210215017582
-118.33557223280502,114.49690058348418,6.56,0.2,0.1388888888888889,-232.8324728162892
-104.68856399071674,114.5987667162741,4.371,0.2,0.1711111111111111,-219.28733070699084
-98.47128951822067,112.93056700528113,3.128,0.2,0.20333333333333334,-211.4018565235018
-95.36144381965106,109.7125605209457,2.365,0.2,0.23555555555555557,-205.07400434059676
-84.74455094914813,105.79031241604183,1.777,0.2,0.2677777777777778,-190.53486336518995
-79.95683388279133,101.42834771596854,1.402,0.2,0.3,-181.38518159875986
-585.5358413720652,82.82390994777407,174.983,0.3,0.01,-668.3597513198392
-204.9462044383955,109.16274690342546,47.067,0.3,0.042222222222222223,-314.10895134182095
-98.07362932910254,115.82714081483526,19.45,0.3,0.07444444444444444,-213.9007701439378
-60.19255829884448,118.22284570169198,10.379,0.3,0.10666666666666666,-178.41540400053645
-46.01110458839274,119.08285624792963,6.56,0.3,0.1388888888888889,-165.09396083632237
-35.17342408031289,119.65793201837258,4.371,0.3,0.1711111111111111,-154.83135609868546
-29.97797642868704,120.00483214886049,3.128,0.3,0.20333333333333334,-149.98280857754753
-29.05799425544331,120.09450172566747,2.365,0.3,0.23555555555555557,-149.15249598111077
-23.847908874022686,120.12995518787756,1.777,0.3,0.2677777777777778,-143.97786406190025
-23.326084250691398,119.32009137484222,1.402,0.3,0.3,-142.64617562553363
