policy,mean_lp_minus_hodl,mean_cum_fees,mean_n_rebalances,jensen_proxy
none,-97.2412887113471,40.67358885969343,0.0,-137.91487757104053
out_of_range,-337.4135323127169,91.34881022619523,11.8615,-428.7623425389121
threshold,-501.41891229841616,86.97962261658977,36.6715,-588.3985349150059
