sigma,optimal_width,best_score,mean_objective,std_objective,mean_time_in_range,mean_n_rebalances,mean_cum_fees,mean_lp_minus_hodl,prob_underperform_hodl
0.2,0.2,9.059701932331242,0.0631172730829995,0.0069668156363680905,0.9971541501976284,0.72,70.91741920099037,10.772193207412151,0.48
0.4,0.16,6.452473306832617,0.1227667358059304,0.01902630665297459,0.9816996047430829,4.63,166.37852326315996,70.02060148910961,0.42
0.6,0.2,4.906522608174286,0.13896332161307218,0.028322160664573062,0.9747826086956524,6.38,211.98856108118198,88.48488534160282,0.39
0.8,0.18,3.5626182571405876,0.13880110345504104,0.038960419959910314,0.9454940711462452,13.79,289.4425420609583,95.0537359503771,0.35
