sigma,mean_lp_minus_hodl,mean_cum_fees,mean_n_rebalances,jensen_proxy
0.2,-9.826159141638486,60.51588160321761,3.3605,-70.34204074485609
0.4,-142.0867784734216,112.6320174988854,11.8615,-254.718795972307
0.6,-343.2161473386803,148.56401226823172,23.4705,-491.780159606912
0.8,-550.6454335770873,165.10271949252527,36.62,-715.7481530696125
