width_pct,objective,mean_objective,std_objective,mean_final_lp_value,mean_final_hodl_value,mean_lp_minus_hodl,prob_underperform_hodl,mean_cum_fees,mean_final_il_value,mean_time_in_range,mean_n_rebalances,sigma
0.2,9.059701932331242,0.0631172730829995,0.0069668156363680905,1063.1172730829994,1052.3450798755873,10.772193207412151,0.48,70.91741920099037,-0.8722646226153838,0.9971541501976284,0.72,0.2
0.16,8.876517331321617,0.07262132359133107,0.008181285619201123,1072.621323591331,1052.3450798755873,20.27624371574375,0.48,83.00799381150553,-0.64466603581071,0.995573122529644,1.12,0.2
0.22,8.552313978048089,0.058757859637611834,0.006870404873865758,1058.7578596376118,1052.3450798755873,6.412779762024501,0.49,66.29033370589153,-1.2155595507851427,0.9975889328063241,0.61,0.2
0.18,8.426030010718367,0.0674476895613935,0.008004681857956402,1067.4476895613936,1052.3450798755873,15.102609685806183,0.48,76.36952988030986,-0.7079226464788345,0.9964426877470355,0.9,0.2
0.14,8.364480549878188,0.0789138210788459,0.009434395908780625,1078.913821078846,1052.3450798755873,26.56874120325857,0.47,91.22206829207781,-0.47773245843707585,0.9944268774703557,1.41,0.2
0.24,7.742901388701638,0.054881991780686146,0.007088039615326806,1054.881991780686,1052.3450798755873,2.5369119050988376,0.5,62.379706071685476,-1.3252142098996273,0.9978260869565215,0.55,0.2
0.26,7.214732240698914,0.05225607076539658,0.007242967447996985,1052.2560707653968,1052.3450798755873,-0.08900911019073078,0.5,58.93470218424028,-1.9234238992968107,0.9984584980237154,0.39,0.2
0.3,7.012892890854324,0.04748700244664638,0.006771385672890467,1047.4870024466463,1052.3450798755873,-4.858077428940947,0.5,53.339420546560696,-2.7711596103152942,0.9991304347826088,0.22,0.2
0.28,6.972411238014984,0.04967307369383518,0.007124231775516571,1049.673073693835,1052.3450798755873,-2.6720061817521343,0.5,55.971019893170244,-2.303601018566859,0.9987747035573123,0.31,0.2
0.12,6.796971034226407,0.08368171727948201,0.012311618934095723,1083.681717279482,1052.3450798755873,31.336637403894688,0.47,101.56532801068235,-0.3227939848085039,0.9916996047430829,2.1,0.2
0.1,6.144684821257703,0.08914615606151025,0.014507848434000506,1089.1461560615103,1052.3450798755873,36.80107618592291,0.46,115.18820700603939,-0.2465099267245593,0.9882608695652173,2.97,0.2
0.16,6.452473306832617,0.1227667358059304,0.01902630665297459,1122.7667358059305,1052.7461343168209,70.02060148910961,0.42,166.37852326315996,-0.6791210524053436,0.9816996047430829,4.63,0.4
0.2,6.421254677811812,0.11094415711833415,0.017277644741563323,1110.944157118334,1052.7461343168209,58.19802280151342,0.41,142.48491744470363,-0.9534301066773326,0.9885375494071146,2.9,0.4
0.18,6.266492249160994,0.11379423639424666,0.018159160160053228,1113.7942363942466,1052.7461343168209,61.048102077425916,0.43,153.17539636778443,-0.8180519738339557,0.9845059288537549,3.92,0.4
0.14,6.084910891661714,0.12912551342772377,0.021220608769253677,1129.1255134277237,1052.7461343168209,76.37937911090303,0.41,181.7684345671653,-0.44769549225316296,0.9769169960474309,5.84,0.4
0.26,5.81448275859556,0.09436827472198626,0.016229865774815735,1094.3682747219862,1052.7461343168209,41.62214040516553,0.44,118.44841962686458,-1.811750456352807,0.9935573122529645,1.63,0.4
0.22,5.691364136535868,0.10431437165801129,0.01832853585810163,1104.3143716580112,1052.7461343168209,51.56823734119053,0.43,133.17036659682628,-1.41022535471583,0.9905533596837945,2.39,0.4
0.24,5.679033368345129,0.0988844030198773,0.01741218911849645,1098.8844030198773,1052.7461343168209,46.13826870305657,0.44,125.17361175749062,-1.658687583571953,0.992213438735178,1.97,0.4
0.28,5.5380056573917775,0.09009304155127036,0.016268138229692832,1090.0930415512703,1052.7461343168209,37.34690723444959,0.45,112.34751305689095,-2.443021273780378,0.9947430830039525,1.33,0.4
0.3,5.1703519374716755,0.08461763700107067,0.016365933697435896,1084.6176370010708,1052.7461343168209,31.871502684249904,0.46,106.93178461396482,-2.704022471573718,0.9952964426877469,1.19,0.4
0.12,4.948367808844961,0.12894039174553096,0.026057155960609157,1128.9403917455309,1052.7461343168209,76.1942574287102,0.39,200.17184466174515,-0.3770027918905788,0.9681818181818183,8.05,0.4
0.1,3.7630403425345005,0.115687495886576,0.030743092115950478,1115.687495886576,1052.7461343168209,62.94136156975525,0.43,220.46789605602422,-0.29245151312939466,0.9540316205533599,11.63,0.4
0.2,4.906522608174286,0.13896332161307218,0.028322160664573062,1138.9633216130721,1050.4784362714693,88.48488534160282,0.39,211.98856108118198,-1.17611217761992,0.9747826086956524,6.38,0.6
0.18,4.80291449788206,0.14303249663744497,0.029780354553577408,1143.032496637445,1050.4784362714693,92.5540603659756,0.38,226.80567467443691,-1.1087292180249324,0.9685375494071146,7.96,0.6
0.22,4.594405053337274,0.13037587391318237,0.028377096141856323,1130.3758739131822,1050.4784362714693,79.89743764171298,0.39,198.64270222355867,-1.363690002248417,0.9783794466403163,5.47,0.6
0.24,4.468351341301858,0.12348506653285828,0.027635487252638643,1123.4850665328584,1050.4784362714693,73.00663026138892,0.39,187.26243249535443,-1.573612085822083,0.9816205533596839,4.65,0.6
0.16,4.310042222728997,0.1459965489344478,0.03387357742449375,1145.9965489344477,1050.4784362714693,95.51811266297844,0.39,243.76278992403525,-0.723793292768801,0.9608695652173913,9.9,0.6
0.26,4.27897315090496,0.11592511109666395,0.02709180614329093,1115.925111096664,1050.4784362714693,65.4466748251946,0.39,176.99586192191782,-1.9973679375867261,0.9839920948616601,4.05,0.6
0.14,4.039304714645525,0.13790439667181745,0.03414062726483843,1137.9043966718175,1050.4784362714693,87.42596040034806,0.38,260.7544133206237,-0.5559744639845278,0.9481027667984189,13.13,0.6
0.28,3.9242319697773014,0.11323636508132157,0.02885567569741492,1113.2363650813218,1050.4784362714693,62.75792880985221,0.4,168.4719340017518,-2.315701000822425,0.9869169960474309,3.31,0.6
0.3,3.8847776086242116,0.10868666350912633,0.027977576700360347,1108.6866635091264,1050.4784362714693,58.20822723765698,0.4,160.39031660878197,-2.267688691167356,0.9889328063241106,2.8,0.6
0.12,3.2005334405162356,0.13070471005808798,0.04083841412293,1130.704710058088,1050.4784362714693,80.22627378661863,0.39,281.6819087236618,-0.4361450425220378,0.9346640316205534,16.53,0.6
0.1,2.118773479940568,0.0923670302499033,0.043594575410909046,1092.3670302499036,1050.4784362714693,41.88859397843393,0.42,299.68667060294354,-0.29881188037238393,0.9111857707509879,22.47,0.6
0.18,3.5626182571405876,0.13880110345504104,0.038960419959910314,1138.801103455041,1043.747367504664,95.0537359503771,0.35,289.4425420609583,-0.9737099463995191,0.9454940711462452,13.79,0.8
0.24,3.546937716951678,0.13610801633653655,0.038373387749675796,1136.1080163365364,1043.747367504664,92.36064883187258,0.36,246.63597595496816,-1.90857626568195,0.9693280632411068,7.76,0.8
0.22,3.479330309334417,0.1374994573412587,0.039518943335840356,1137.4994573412587,1043.747367504664,93.75208983659479,0.35,259.63866944221087,-1.692053222093871,0.9628458498023715,9.4,0.8
0.2,3.4414890074000692,0.14172959628905554,0.041182638091913464,1141.7295962890555,1043.747367504664,97.98222878439155,0.36,273.8571219848188,-1.113766292621395,0.9560474308300394,11.12,0.8
0.28,3.299883265099546,0.12134202478347447,0.036771611307230286,1121.3420247834745,1043.747367504664,77.59465727881047,0.37,221.96966664411357,-2.118268080680738,0.9769169960474309,5.84,0.8
0.26,3.2764199106263767,0.13073015713685276,0.03990030603612714,1130.7301571368528,1043.747367504664,86.98278963218878,0.35,233.8252535416962,-2.3142574686476793,0.974110671936759,6.55,0.8
0.16,3.012973397553325,0.13292870121291755,0.04411877692676008,1132.9287012129178,1043.747367504664,89.1813337082536,0.35,306.2891954158335,-0.8319817014306188,0.9329644268774703,16.96,0.8
0.14,2.913234560136431,0.12514535298149357,0.0429575272427198,1125.1453529814937,1043.747367504664,81.39798547682956,0.36,325.7044992176394,-0.5681490273905686,0.9184189723320157,20.64,0.8
0.3,2.7314018532041153,0.11288831808228278,0.041329809434615894,1112.8883180822827,1043.747367504664,69.14095057761884,0.37,211.43285200797212,-2.7723287854349365,0.9794861660079052,5.19,0.8
0.12,1.6609266816597081,0.0861715269069354,0.05188159589370139,1086.1715269069352,1043.747367504664,42.424159402271464,0.4,338.24036585073355,-0.3822925553552233,0.8931620553359683,27.03,0.8
0.1,0.08507709094486926,0.004794280909441206,0.05635219606354364,1004.7942809094411,1043.747367504664,-38.95308659522276,0.44,340.1881596486756,-0.24728236665940875,0.8552964426877468,36.61,0.8
