width_pct,objective,mean_objective,std_objective,mean_final_lp_value,mean_final_hodl_value,mean_lp_minus_hodl,prob_underperform_hodl,mean_cum_fees,mean_final_il_value,mean_time_in_range,mean_n_rebalances,sigma
0.2,9.059701932331242,0.0631172730829995,0.0069668156363680905,1063.1172730829994,1052.3450798755873,10.772193207412151,0.48,70.91741920099037,-0.8722646226153838,0.9971541501976284,0.72,0.2
0.16,8.876517331321617,0.07262132359133107,0.008181285619201123,1072.621323591331,1052.3450798755873,20.27624371574375,0.48,83.00799381150553,-0.64466603581071,0.995573122529644,1.12,0.2
0.22,8.552313978048089,0.058757859637611834,0.006870404873865758,1058.7578596376118,1052.3450798755873,6.412779762024501,0.49,66.29033370589153,-1.2155595507851427,0.9975889328063241,0.61,0.2
0.18,8.426030010718367,0.0674476895613935,0.008004681857956402,1067.4476895613936,1052.3450798755873,15.102609685806183,0.48,76.36952988030986,-0.7079226464788345,0.9964426877470355,0.9,0.2
0.14,8.364480549878188,0.0789138210788459,0.009434395908780625,1078.913821078846,1052.3450798755873,26.56874120325857,0.47,91.22206829207781,-0.47773245843707585,0.9944268774703557,1.41,0.2
0.24,7.742901388701638,0.054881991780686146,0.007088039615326806,1054.881991780686,1052.3450798755873,2.5369119050988376,0.5,62.379706071685476,-1.3252142098996273,0.9978260869565215,0.55,0.2
0.26,7.214732240698914,0.05225607076539658,0.007242967447996985,1052.2560707653968,1052.3450798755873,-0.08900911019073078,0.5,58.93470218424028,-1.9234238992968107,0.9984584980237154,0.39,0.2
0.3,7.012892890854324,0.04748700244664638,0.006771385672890467,1047.4870024466463,1052.3450798755873,-4.858077428940947,0.5,53.339420546560696,-2.7711596103152942,0.9991304347826088,0.22,0.2
0.28,6.972411238014984,0.04967307369383518,0.007124231775516571,1049.673073693835,1052.3450798755873,-2.6720061817521343,0.5,55.971019893170244,-2.303601018566859,0.9987747035573123,0.31,0.2
0.12,6.796971034226407,0.08368171727948201,0.012311618934095723,1083.681717279482,1052.3450798755873,31.336637403894688,0.47,101.56532801068235,-0.3227939848085039,0.9916996047430829,2.1,0.2
0.1,6.144684821257703,0.08914615606151025,0.014507848434000506,1089.1461560615103,1052.3450798755873,36.80107618592291,0.46,115.18820700603939,-0.2465099267245593,0.9882608695652173,2.97,0.2
